日期,收支,憑證類型,發票號碼,對象,對方統編,未稅,稅額,含稅,科目,來源,備註
1150320,支出,收據,,民間公證人郭哲嫺事務所,88459993,3100,0,3100,規費稅捐,LINE照片,房屋租賃契約公證費(115年度中院民公哲字第00675號)
1150713,支出,收據,,中華郵政,,80,0,80,運費,LINE照片,國內包裹特約記帳郵費單(綠界科技特約戶81g×1件)
1150710,支出,帳單,,中華電信,52003801,799,0,799,水電瓦斯,LINE照片,115年6月電路統包專案月費繳費通知;非發票
1150727,支出,電子發票,DM36903456,和司特股份有限公司,53369150,4100,205,4305,銷貨成本,LINE照片,丹蔘萃取物+紅景天萃取物
1150306,支出,電子發票,YY70999177,美商科高國際(Google),27934855,1905,95,2000,廣告行銷,LINE照片,Google廣告
1150226,支出,電子發票,WW71018404,美商科高國際(Google),27934855,1905,95,2000,廣告行銷,LINE照片,Google廣告
1150331,支出,電子發票,YY71008581,美商科高國際(Google),27934855,1905,95,2000,廣告行銷,LINE照片,Google廣告
1150703,支出,電子發票,DP39298640,新富町食堂,45784816,1740,87,1827,雜項費用,LINE照片,餐費(桌號18)
1150710,支出,電子發票,DT67511402,永紳國際貿易,54941654,476,24,500,銷貨成本,LINE照片,紅酒1瓶
1150801,支出,電子發票,CS57720952,全聯福利中心台中三民分公司,24804990,255,0,255,銷貨成本,LINE照片,瑞穗全脂鮮乳×3(免稅)
1150709,支出,電子發票,CX36763733,7-ELEVEN成興店,70816061,52,3,55,雜項費用,LINE照片,ibon列印+溫泉蛋
1150811,支出,電子發票,DQ45893585,(票面未載店名),90845058,1979,0,1979,雜項費用,LINE照片,甲殼素植物驅蟲噴霧+土壤防蟲粉(免稅)
1150716,支出,電子發票,DM30331380,滙格股份有限公司,54175316,3810,191,4001,銷貨成本,LINE照片,果露糖漿5項
1150731,支出,電子發票,CQ98634828,開元食品工業宜蘭營業所,42031096,2563,128,2691,銷貨成本,LINE照片,戀職人鮮奶936ml×39;票面未印稅額依5%推算
1150727,支出,電子發票,DD05851389,德麥食品股份有限公司,23420497,1629,81,1710,銷貨成本,LINE照片,貝朵可頌70g
1150727,支出,電子發票,DD05851388,德麥食品股份有限公司,23420497,8938,447,9385,銷貨成本,LINE照片,烘焙原料13件(變裝黴/AOP發酵/鮮奶油/貝朵起酥片)
1150827,支出,電子發票,DG09246369,台灣國際開發事業,60999679,171,9,180,雜項費用,LINE照片,停車費(第二市場興中停車場;車號CDE6379)
1150615,支出,電子發票,BS54331615,台灣國際開發事業,60999679,324,16,340,雜項費用,LINE照片,停車費(車號CDE6379)
1150718,支出,電子發票,DG09230069,台灣國際開發事業,60999679,133,7,140,雜項費用,LINE照片,停車費(車號3672VU)
1150722,支出,電子發票,DG09236287,台灣國際開發事業,60999679,95,5,100,雜項費用,LINE照片,停車費(車號CDE6379)
1150710,支出,收銀機發票,CD57523585,沃克企業有限公司逢福營業所,88431519,60,0,60,雜項費用,LINE照片,停車費;票面無買方統編
1150626,支出,電子發票,BA05862603,德麥食品股份有限公司,23420497,2319,116,2435,銷貨成本,LINE照片,頂級愛迪亞藍莓餡+法國萊思克AOP發酵奶油
1150731,支出,電子發票,CQ98794568,開元食品工業中北營業所,47409443,1971,99,2070,銷貨成本,LINE照片,戀職人鮮奶936ml×30;票面未印稅額依5%推算
1150729,支出,收據,,中華郵政,,28,0,28,運費,LINE照片,普通掛號函件執據郵資
1150703,支出,電子發票,DT56020310,連加電子支付股份有限公司,60558379,427,21,448,雜項費用,郵件發票,LINE Pay 6月交易手續費;金額與對方統編以PDF核實;買方統編72941298
1150703,支出,電子發票,DD40974257,連加網路商業股份有限公司,24941093,332,17,349,雜項費用,郵件發票,LINE Pay 6月交易手續費;金額與對方統編以PDF核實;買方統編72941298
1150704,支出,電子發票,DD70999441,美商科高國際(Google),27934855,1905,95,2000,廣告行銷,郵件發票,Google Ads預付款;買方統編72941298
1150805,支出,電子發票,DT56075719,連加電子支付股份有限公司,60558379,251,13,264,雜項費用,郵件發票,LINE Pay 7月交易手續費;金額與對方統編以PDF核實;買方統編72941298
1150805,支出,電子發票,DD41088662,連加網路商業股份有限公司,24941093,190,9,199,雜項費用,郵件發票,LINE Pay 7月交易手續費;金額與對方統編以PDF核實;買方統編72941298
1150815,支出,電子發票,DF13322559,資廚管理顧問股份有限公司(iCHEF),,11143,557,11700,雜項費用,郵件發票,iCHEF POS服務費;ezPay平台開立;買方抬頭鑫和洋行(信中未載統編數字);未稅稅額5%推算
1150905,支出,電子發票,FP87413040,冠達生活館有限公司,91042599,1254,63,1317,雜項費用,LINE照片,生活百貨;品項明細未拍全
1150630,支出,電子發票,AN62456032,新竹物流股份有限公司,41474516,495,25,520,運費,郵件發票,115年05-06月期運費;發票日115/6/30;買方統編72941298
1150707,支出,電子發票,DT07624903,蚨聚有限公司,54753239,20000,1000,21000,租金,郵件發票,7月租金(時間到咖啡館);買方統編72941298
1150731,支出,電子發票,CR62455519,新竹物流股份有限公司,41474516,152,8,160,運費,郵件發票,115年07-08月期運費;發票日115/7/31;買方統編72941298
1150731,支出,電子發票,DG84731548,億泰玻璃工業有限公司,84171891,31350,1568,32918,銷貨成本,郵件發票,瓶身印刷玻璃牙瓶2020支+鋁蓋墊片;現金付現折3%-970;買方統編72941298
1150805,支出,電子發票,DT07624915,蚨聚有限公司,54753239,20000,1000,21000,租金,郵件發票,8月租金(時間到咖啡館);買方統編72941298
1150806,支出,電子發票,DM14634071,藍格印刷國際企業有限公司,22076600,933,47,980,廣告行銷,郵件發票,5K摺式Menu+雙霧卡+運費;買方統編72941298
1150811,支出,電子發票,DM14636200,藍格印刷國際企業有限公司,22076600,796,40,836,廣告行銷,郵件發票,5K摺式Menu+運費;買方統編72941298
